artist,album,track,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,lyrics_body
Bonnie Tyler,The Very Best of Bonnie Tyler,Total Eclipse of the Heart,0.431,0.723,8,-5.887,1,0.0568,0.0,0.374,0.19,130.141,"Three, four  (Turn around) Every now and then I get a little bit lonely When you're never coming 'round (Turn around) Every now and then I get a little bit tired Of listening to the sound of my tears (Turn around) Every now and then I get a little bit nervous That the best of all the years have gone by  (Turn around) Every now and then I get a little bit terrified Then I see the look in your eyes (Turn around, bright eyes) But every now and then I fall apart (Turn around, bright eyes) Every now and then I fall apart  (Turn around) Every now and then I get a little bit restless When I dream of something wild (Turn around) Every now and then I get a little bit helpless I'm lying like a child in your arms (Turn around) Every now and then I get a little bit angry And I know I've got to get out and cry  (Turn around) Every now and then I get a little bit terrified Then I see the look in your eyes (Turn around, bright eyes) But every now and then I fall apart (Turn around, bright eyes) Every now and then I fall apart "
Exposé,Exposure,Point of No Return,0.6,0.814,0,-9.411,1,0.0415,0.00209,0.0605,0.873,120.037,"The common road Seems just like a dream It's a mystery to me It fills me within When we're together Oh, baby, can't you see?  I, I'd like to feel the passion To the point of no return I will be in full reaction I wanna take you in my arms  You're taking me To the point of no return Uh, uh, uh You're taking me To the point of no return Uh, uh, uh  It took so long But I treasure now The love you gave to me"
The Weather Girls,It's Raining Men,It's Raining Men - Single Version,0.726,0.888,5,-7.191,0,0.0726,0.000345,0.689,0.617,136.29,"(Hi!) Hi! We're your Weather Girls (uh-huh) And have we got news for you (you better listen!) Get ready, all you lonely girls And leave those umbrellas at home (alright)  Humidity is rising (mmm, rising) Barometer's getting low (how low, girl? Uh-oh) According to all sources (what sources now?) The street's the place to go (we better hurry up)  'Cause tonight for the first time (first time) Just about half-past ten (half-past ten) For the first time in history It's gonna start raining men (start raining men)  It's raining men! Hallelujah! It's raining men! Amen! I'm gonna go out to run and gonna let myself get Absolutely soaking wet  It's raining men! Hallelujah! It's raining men, every specimen! Tall, blonde, dark, and lean Rough and tough, and strong and mean"
Chaka Khan,I Feel for You,Through the Fire,0.563,0.593,8,-7.099,1,0.0322,1.85e-05,0.145,0.428,130.744,"I look in your eyes and I can see We've loved so dangerously You're not trusting your heart to anyone You tell me you're gonna play it smart We're through before we start But I believe that we've only just begun When it's this good, there's no saying no I want you so, I'm ready to go  Through the fire, to the limit, to the wall For a chance to be with you I'd gladly risk it all Through the fire Through whatever, come what may For a chance at loving you I'd take it all the way Right down to the wire Even through the fire  I know you're afraid of what you feel You still need time to heal"
Sister Nancy,One Two,Bam Bam,0.722,0.605,5,-6.07,1,0.153,0.0178,0.248,0.709,165.998,"Mi seh one ting Nancy kyaahn understand One ting Nancy kyaahn understand Wha mek dem a taak bout mi ambition? Seh, what makes dem a taak bout mi ambition? Some a dem a aks mi weh mi get it fram Some of them ask me where me get it from A chuu dem nuh know it's fram creation A chuu dem nuh know it's fram creation  Bam bam, ey, What a bam bam Bam bam dilla, bam bam Bam bam dilla, bam bam 'Ey what a bam bam, said what a bam bam  This woman never troubled no one I'm a lady, I'm not a man MC is my ambition I come from nice up Jamaica So bam bam, what a bam bam Bam bam dilla, bam bam Bam bam dilla, bam bam 'Ey a mi seh what a bam bam, Tell 'em said what a bam bam"
Teena Marie,Best Of/20th Century,Square Biz,0.769,0.922,2,-7.479,1,0.119,0.000197,0.5,0.723,113.621,"Hee!  Everybody get up!  Flash back, who's that dancing to the latest? Suave de bone, the greatest, ooh, he sure is moving me That's what I said, though, you didn't know yet All of it was kismet, soon to be made history  So, don't you have no doubt, I'm gonna spell it out I'll hip you to the Tee', that is I got the best, the most, baby, from coast to coast And I don't wanna boast, but I love you, square biz  I'm talking square biz to you, baby Square, square biz I'm talking love, that is Square, square biz  I'm talking square biz to you, baby Square, square biz I'm talking love, that is That is, that is square biz  So shy, whoa my, had to change that real quick Had to use a few tricks, you know like my femme fatale Phase two, me, you dancing on a cloud I'm gonna sing it loud 'cause my love is on the wow  So don't you have no doubt, I'm gonna spell it out I'll hip you to the Tee', that is I got the best, the most, baby, from coast to coast And I don't wanna boast, but I love you, square biz  I'm talking square biz to you, baby Square, square biz I'm talking love, that is Square, square biz  I'm talking square biz to you, baby Square, square biz I'm talking love, that is That is, that is square biz  Square biz Square biz, square biz I'm talking love Square biz, square biz Square biz, square biz I'm talking love  Phase three, ooh-wee, on a love oasis Joy upon our faces sent from up above Bombs burst, fireworks, big production thing"
Donna Summer,She Works Hard For The Money,She Works Hard For The Money,0.758,0.638,8,-13.01,0,0.0378,0.0141,0.0938,0.984,136.502,"She works hard for the money So hard for it, honey She works hard for the money So you better treat her right  She works hard for the money So hard for it, honey She works hard for the money So you better treat her right  Onetta there in the corner stand And she wonders where she is And it's strange to her Some people seem to have everything  Nine a.m. on the hour hand And she's waiting for the bell And she's looking real pretty Just wait for her clientele  She works hard for the money So hard for it, honey She works hard for the money So you better treat her right  She works hard for the money"
Sade,Love Deluxe,I Couldn't Love You More,0.749,0.16,7,-18.744,1,0.0307,0.227,0.122,0.206,98.148,"I couldn't love you more If time was running out I couldn't love you more Oh right now, baby  Oh right now, baby Take me by the hand, come on! Be my darling, be the one I wouldn't want to lay or ever love with another  If everyone in the world Could give me what I wanted I wouldn't want for more than I have"
Natalie Cole,Good To Be Back,Miss You Like Crazy,0.595,0.546,2,-6.251,1,0.0267,0.00422,0.0697,0.255,131.136,"Even though it's been so long My love for you keeps going strong I remember the things that we used to do A kiss in the rain 'til the sun shine through I tried to deny it, but I'm still in love with you  I miss you like crazy, I miss you like crazy Ever since you went away Every hour of every day I miss you like crazy I miss you like crazy No matter what I say or do There's just no getting over you  I can see the love shining in your eyes And it comes as such a sweet surprise"
Patrice Rushen,Straight from the Heart (Remastered),Forget Me Nots - Remastered,0.919,0.458,6,-6.963,0,0.0429,0.0558,0.0534,0.963,113.82,Sending you forget me nots To help me to remember Baby please forget me not I want you to remember  Sending you forget me nots To help me to remember Baby please forget me not I want you to remember  Those were the times we had Sharing a joy that we thought would last Memories of love and affection Never really was just like a dream Was it the simple things That made me so crazy about you Was it your charm or your passion It's not hard to believe I love you and i need you so i...
Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),I Love Rock 'N Roll,0.535,0.716,4,-5.025,1,0.0431,0.0,0.659,0.901,94.379,"I saw him dancin' there by the record machine I knew he must have been about 17 The beat was goin' strong Playin' my favorite song And I could tell it wouldn't be long  'Til he was with me, yeah, me! And I could tell it wouldn't be long 'Til he was with me, yeah, me! Singin'  I love rock 'n' roll So put another dime in the jukebox, baby I love rock 'n' roll So come and take your time and dance with me Woah  He smiled so I got up and asked for his name ""That don't matter"", he said, ""'Cause it's all the same"" Said, ""Can I take you home Where we can be alone?"" And next we were movin' on"
Indigo Girls,Indigo Girls (Expanded Edition),Closer to Fine,0.54,0.677,9,-6.349,1,0.0286,0.0,0.224,0.748,98.339,"I'm trying to tell you something 'bout my life Maybe give me insight between black and white And the best thing you ever done for me Is to help me take my life less seriously It's only life after all, yeah  Well, darkness has a hunger that's insatiable And lightness has a call that's hard to hear And I wrap my fear around me like a blanket I sailed my ship of safety till I sank it I'm crawling on your shores  And I went to the doctor, I went to the mountains I looked to the children, I drank from the fountains There's more than one answer to these questions Pointing me in a crooked line And the less I seek my source for some definitive (The less I seek my source) Closer I am to fine, yeah"
Enya,Watermark,Orinoco Flow,0.685,0.307,0,-17.283,1,0.0305,0.28,0.0988,0.559,114.981,"Let me sail, let me sail Let the Orinoco flow Let me reach, let me beach On the shores of Tripoli  Let me sail, let me sail Let me crash upon your shore Let me reach, let me beach Far beyond the Yellow Sea  Sail away, sail away, sail away Sail away, sail away, sail away Sail away, sail away, sail away Sail away, sail away, sail away  From Bissau to Palau In the shade of Avalon From Fiji to Tiree And the Isles of Ebony  From Peru to Cebu Hear the power of Babylon From Bali to Cali Far beneath the Coral Sea  Turn it up, turn it up, turn it up, up, adieu Ooh Turn it up, turn it up, turn it up, up, adieu Ooh Turn it up, turn it up, turn it up, up, adieu"
Barbra Streisand,Guilty,Woman in Love,0.469,0.278,3,-16.311,0,0.028,0.000126,0.133,0.331,169.735,"Life is a moment in space When the dream is gone, it's a lonelier place I kiss the morning goodbye But down inside, you know we never know why  The road is narrow and long When eyes meet eyes, and the feeling is strong I turn away from the wall I stumble and fall, but I give you it all  I am a woman in love And I'll do anything to get you into my world And hold you within It's a right I defend Over and over again What do I do?"
Suzanne Vega,Solitude Standing,Tom's Diner,0.695,0.172,6,-22.075,1,0.907,0.0,0.156,0.395,134.092,"Do do dodo do do dodo Do do dodo do do dodo Do do dodo do do dodo Do do dodo do do dodo  I am sitting In the morning At the diner On the corner  I am waiting At the counter For the man To pour the coffee  And he fills it Only halfway And before I even argue  He is looking Out the window At somebody Coming in  Do do dodo do do dodo Do do dodo do do dodo Do do dodo do do dodo Do do dodo do do dodo  ""It is always Nice to see you"" Says the man Behind the counter  To the woman Who has come in She is shaking Her umbrella  And I look The other way As they are kissing Their hellos"
Patti LaBelle,Winner In You,On My Own,0.62,0.402,5,-12.964,1,0.0264,6.13e-05,0.312,0.483,92.093,Hmm... hmm... hmm... ha So many times said it was forever Said our love would always be true Something in my heart always knew I'd be lying here beside you... On my own... On my own... On my own... So many promises never to be spoken  Now I know what loving you cost Now we're up to talking divorce and we weren't even married... On my own... once again... now... One more time... by... myself No one said it was easy No-no-no ooh no But it once was so easy  Well I believe (I believe) in love (In love)  Now here I stand... I wonder why Ooh...
Coolio,Gangsta's Paradise,Gangsta's Paradise,0.647,0.514,8,-10.05,1,0.0593,0.0,0.398,0.386,79.975,"As I walk through the valley of the shadow of death I take a look at my life and realize there's nothin' left 'Cause I've been blasting and laughing so long that Even my mamma thinks that my mind is gone But I ain't never crossed a man that didn't deserve it Me be treated like a punk, you know that's unheard of You better watch how you talking, and where you walking Or you and your homies might be lined in chalk I really hate to trip but I gotta, loc As they croak I see myself in the pistol smoke, fool I'm the kinda G that little homies want to be like On my knees in the night, saying prayers in the street light  They've been spending most their lives living in the gangsta's paradise They've been spending most their lives living in the gangsta's paradise We keep spending most our lives living in the gangsta's paradise We keep spending most our lives living in the gangsta's paradise  Look at the situation they got me facin'"
